college,faculty,programme,awarding_institution,link
UCC,"School of Business, Administration and Management",Business Administration,University of the Commonwealth Caribbean,/programmes/bm/bsc-in-business-administration
UCC,"School of Business, Administration and Management",Business Administration (ASc.),University of the Commonwealth Caribbean,/programmes/bm/asc-business-administration
UCC,"School of Business, Administration and Management","Business Administration, Accounting & Financial Management Major",University of the Commonwealth Caribbean,/programmes/bm/bsc-accounting-finance-management
UCC,"School of Business, Administration and Management","Business Administration, Accounting Major",University of the Commonwealth Caribbean,/programmes/bm/bsc-accounting
UCC,"School of Business, Administration and Management","Business Administration, Education Studies Major",University of the Commonwealth Caribbean,/programmes/bm/bsc-education-studies
UCC,"School of Business, Administration and Management","Business Administration, Financial Management Major",University of the Commonwealth Caribbean,/programmes/bm/bsc-financial-management
UCC,"School of Business, Administration and Management","Business Administration, Information Systems Management Major",University of the Commonwealth Caribbean,/programmes/bm/bsc-information-systems-and-management
UCC,"School of Business, Administration and Management","Business Administration, Project Management Major",University of the Commonwealth Caribbean,/programmes/bm/bsc-project-management
UCC,"School of Business, Administration and Management",Human Resource Management,University of the Commonwealth Caribbean,/programmes/bm/bsc-in-human-resource-management
UCC,"School of Business, Administration and Management",Innovation & Entrepreneurship,University of the Commonwealth Caribbean,/programmes/bm/innovation-and-entrepreneurship
UCC,"School of Business, Administration and Management",Internal Auditing,University of the Commonwealth Caribbean,/programmes/bm/bsc-in-internal-auditing
UCC,"School of Business, Administration and Management",International Relations,University of the Commonwealth Caribbean,/programmes/bm/bsc-international-relations
UCC,"School of Business, Administration and Management",Journalism,University of the Commonwealth Caribbean,/programmes/bm/ba-in-journalism
UCC,"School of Business, Administration and Management",Logistics Operations & Management (LOM),University of the Commonwealth Caribbean,/programmes/bm/bsc-logistics-operations-and-management
UCC,"School of Business, Administration and Management",Marketing,University of the Commonwealth Caribbean,/programmes/bm/bsc-in-marketing
UCC,"School of Business, Administration and Management","Marketing, Digital Marketing & Advertising Management Major",University of the Commonwealth Caribbean,/programmes/bm/bsc-digital-marketing-advertising-management
UCC,"School of Business, Administration and Management",Media & Communications,University of the Commonwealth Caribbean,/programmes/bm/ba-media-communications
UCC,"School of Business, Administration and Management",Production and Operations Management,University of the Commonwealth Caribbean,/programmes/bm/bsc-production-operations-management
UCC,"School of Business, Administration and Management",Production and Operations Management (ASc.),University of the Commonwealth Caribbean,/programmes/bm/asc-production-operations-management
